source_doc,eval_type,eval_method,variant,score,duration
0001,Embeddings-based,BERTScore,source,1.0,0.3191416263580322
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.982042133808136,0.03686881065368652
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9535590410232544,0.021712779998779297
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9228011965751648,0.029235363006591797
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.8996198177337646,0.030857563018798828
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8762769103050232,0.04065203666687012
0001,Embeddings-based,BERTScore,deleted_words_0.1,0.8721468448638916,0.02864551544189453
0001,Embeddings-based,BERTScore,deleted_words_0.3,0.7868894934654236,0.02237415313720703
0001,Embeddings-based,BERTScore,deleted_words_0.5,0.7321214079856873,0.021190166473388672
0001,Embeddings-based,BERTScore,deleted_words_0.7,0.6403820514678955,0.024590015411376953
0001,Embeddings-based,BERTScore,deleted_words_0.9,0.6585041284561157,0.029054641723632812
0001,Embeddings-based,BERTScore,inserted_sentence_0.1,0.8021448850631714,0.032546043395996094
0001,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6995944380760193,0.033623695373535156
0001,Embeddings-based,BERTScore,inserted_sentence_0.5,0.7041788697242737,0.03961634635925293
0001,Embeddings-based,BERTScore,inserted_sentence_0.7,0.6992005109786987,0.03348064422607422
0001,Embeddings-based,BERTScore,inserted_sentence_0.9,0.7043547630310059,0.04086732864379883
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9464399814605713,0.03315234184265137
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8400956392288208,0.01780390739440918
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7654080986976624,0.027402162551879883
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.6948858499526978,0.0318293571472168
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.6553298234939575,0.03296542167663574
0001,Embeddings-based,BERTScore,removed_sentence_0.1,0.9440903663635254,0.031252145767211914
0001,Embeddings-based,BERTScore,removed_sentence_0.3,0.8498750329017639,0.033976078033447266
0001,Embeddings-based,BERTScore,removed_sentence_0.5,0.7801483273506165,0.0323641300201416
0001,Embeddings-based,BERTScore,removed_sentence_0.7,0.7121091485023499,0.03301596641540527
0001,Embeddings-based,BERTScore,removed_sentence_0.9,0.7127405405044556,0.030632495880126953
0001,Embeddings-based,BERTScore,repeated_sentence_0.1,0.775119960308075,0.03308606147766113
0001,Embeddings-based,BERTScore,repeated_sentence_0.3,0.6819123029708862,0.033745527267456055
0001,Embeddings-based,BERTScore,repeated_sentence_0.5,0.6819123029708862,0.03707742691040039
0001,Embeddings-based,BERTScore,repeated_sentence_0.7,0.6819123029708862,0.03170943260192871
0001,Embeddings-based,BERTScore,repeated_sentence_0.9,0.6819123029708862,0.04606008529663086
0002,Embeddings-based,BERTScore,source,1.0,0.023775815963745117
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9841972589492798,0.030602216720581055
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9407760500907898,0.032959938049316406
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9170087575912476,0.030330181121826172
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9016093611717224,0.020673274993896484
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8868499398231506,0.032851219177246094
0002,Embeddings-based,BERTScore,deleted_words_0.1,0.8707390427589417,0.03252530097961426
0002,Embeddings-based,BERTScore,deleted_words_0.3,0.7874993085861206,0.03323793411254883
0002,Embeddings-based,BERTScore,deleted_words_0.5,0.7280624508857727,0.03323030471801758
0002,Embeddings-based,BERTScore,deleted_words_0.7,0.7004680633544922,0.03593754768371582
0002,Embeddings-based,BERTScore,deleted_words_0.9,0.6090366840362549,0.031182050704956055
0002,Embeddings-based,BERTScore,inserted_sentence_0.1,0.8266423940658569,0.030913829803466797
0002,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6667761206626892,0.034334659576416016
0002,Embeddings-based,BERTScore,inserted_sentence_0.5,0.670763373374939,0.03568768501281738
0002,Embeddings-based,BERTScore,inserted_sentence_0.7,0.67188960313797,0.03318190574645996
0002,Embeddings-based,BERTScore,inserted_sentence_0.9,0.6670676469802856,0.04937887191772461
0002,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9388659596443176,0.026419639587402344
0002,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8441998362541199,0.028576135635375977
0002,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7553088068962097,0.02326512336730957
0002,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.7218486070632935,0.033830881118774414
0002,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.68882155418396,0.02642655372619629
0002,Embeddings-based,BERTScore,removed_sentence_0.1,0.8799660205841064,0.022857189178466797
0002,Embeddings-based,BERTScore,removed_sentence_0.3,0.7724301218986511,0.022166728973388672
0002,Embeddings-based,BERTScore,removed_sentence_0.5,0.7451093792915344,0.02546238899230957
0002,Embeddings-based,BERTScore,removed_sentence_0.7,0.7012086510658264,0.021148681640625
0002,Embeddings-based,BERTScore,removed_sentence_0.9,0.6611666679382324,0.03127932548522949
0002,Embeddings-based,BERTScore,repeated_sentence_0.1,0.8596140146255493,0.024307727813720703
0002,Embeddings-based,BERTScore,repeated_sentence_0.3,0.6802114248275757,0.033577680587768555
0002,Embeddings-based,BERTScore,repeated_sentence_0.5,0.6107361912727356,0.034270286560058594
0002,Embeddings-based,BERTScore,repeated_sentence_0.7,0.6107361912727356,0.037798404693603516
0002,Embeddings-based,BERTScore,repeated_sentence_0.9,0.6107361912727356,0.039019107818603516
0003,Embeddings-based,BERTScore,source,1.0,0.0036313533782958984
0003,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9748096466064453,0.03121018409729004
0003,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9317150712013245,0.03140139579772949
0003,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9022838473320007,0.017713069915771484
0003,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.883093535900116,0.037740230560302734
0003,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8655412197113037,0.030895709991455078
0003,Embeddings-based,BERTScore,deleted_words_0.1,0.8572736382484436,0.033757925033569336
0003,Embeddings-based,BERTScore,deleted_words_0.3,0.7808605432510376,0.02138495445251465
0003,Embeddings-based,BERTScore,deleted_words_0.5,0.7208673357963562,0.029702186584472656
0003,Embeddings-based,BERTScore,deleted_words_0.7,0.7203758955001831,0.033356428146362305
0003,Embeddings-based,BERTScore,deleted_words_0.9,0.6265815496444702,0.018598556518554688
0003,Embeddings-based,BERTScore,inserted_sentence_0.1,0.8367353677749634,0.0330197811126709
0003,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6929428577423096,0.03336334228515625
0003,Embeddings-based,BERTScore,inserted_sentence_0.5,0.6712527871131897,0.03250718116760254
0003,Embeddings-based,BERTScore,inserted_sentence_0.7,0.7065293788909912,0.0506129264831543
0003,Embeddings-based,BERTScore,inserted_sentence_0.9,0.6944246292114258,0.04976487159729004
0003,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9323143362998962,0.030656814575195312
0003,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8369870781898499,0.03332376480102539
0003,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7574214339256287,0.02188587188720703
0003,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.6999598145484924,0.03367304801940918
0003,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.6742998361587524,0.034795522689819336
0003,Embeddings-based,BERTScore,removed_sentence_0.1,0.9199228286743164,0.03500628471374512
0003,Embeddings-based,BERTScore,removed_sentence_0.3,0.8920800685882568,0.027626514434814453
0003,Embeddings-based,BERTScore,removed_sentence_0.5,0.8130531907081604,0.0176239013671875
0003,Embeddings-based,BERTScore,removed_sentence_0.7,0.7610474824905396,0.02316427230834961
0003,Embeddings-based,BERTScore,removed_sentence_0.9,0.6917396783828735,0.02234196662902832
0003,Embeddings-based,BERTScore,repeated_sentence_0.1,0.8649905920028687,0.031966447830200195
0003,Embeddings-based,BERTScore,repeated_sentence_0.3,0.7414277195930481,0.033135175704956055
0003,Embeddings-based,BERTScore,repeated_sentence_0.5,0.634225606918335,0.029513120651245117
0003,Embeddings-based,BERTScore,repeated_sentence_0.7,0.634225606918335,0.048345327377319336
0003,Embeddings-based,BERTScore,repeated_sentence_0.9,0.634225606918335,0.0330662727355957
0004,Embeddings-based,BERTScore,source,1.0,0.016563892364501953
0004,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.983811616897583,0.03227829933166504
0004,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9409320950508118,0.033050537109375
0004,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9110106825828552,0.03471016883850098
0004,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.8906766772270203,0.031063318252563477
0004,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8689477443695068,0.032543182373046875
0004,Embeddings-based,BERTScore,deleted_words_0.1,0.8721930384635925,0.029499053955078125
0004,Embeddings-based,BERTScore,deleted_words_0.3,0.7900523543357849,0.027844905853271484
