source_doc,eval_type,eval_method,variant,score,duration
1,Embeddings-based,BERTScore,source,1.0,0.5618557929992676
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9867804050445557,0.4557812213897705
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.95557701587677,0.4499526023864746
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9379296898841858,0.46830129623413086
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9231599569320679,0.4508514404296875
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.9134389162063599,0.4637110233306885
1,Embeddings-based,BERTScore,deleted_words_0.1,0.9395405650138855,0.445040225982666
1,Embeddings-based,BERTScore,deleted_words_0.3,0.816927969455719,0.46610522270202637
1,Embeddings-based,BERTScore,deleted_words_0.5,0.7778842449188232,0.4543278217315674
1,Embeddings-based,BERTScore,deleted_words_0.7,0.7291922569274902,0.4601573944091797
1,Embeddings-based,BERTScore,deleted_words_0.9,0.683968186378479,0.4555344581604004
1,Embeddings-based,BERTScore,inserted_sentence_0.1,0.9198481440544128,0.46517419815063477
1,Embeddings-based,BERTScore,inserted_sentence_0.3,0.9074535369873047,0.48886942863464355
1,Embeddings-based,BERTScore,inserted_sentence_0.5,0.8699341416358948,0.49866271018981934
1,Embeddings-based,BERTScore,inserted_sentence_0.7,0.7547581791877747,0.501326322555542
1,Embeddings-based,BERTScore,inserted_sentence_0.9,0.7121769785881042,0.5197575092315674
1,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9595592021942139,0.5384581089019775
1,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8916772603988647,0.598968505859375
1,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.8278375267982483,0.5667967796325684
1,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.8053807020187378,0.5768947601318359
1,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.785394549369812,0.562633752822876
1,Embeddings-based,BERTScore,removed_sentence_0.1,0.9515910744667053,0.5781137943267822
1,Embeddings-based,BERTScore,removed_sentence_0.3,0.8414111733436584,0.5780243873596191
1,Embeddings-based,BERTScore,removed_sentence_0.5,0.7884536385536194,0.5804686546325684
1,Embeddings-based,BERTScore,removed_sentence_0.7,0.7000329494476318,0.5999658107757568
1,Embeddings-based,BERTScore,removed_sentence_0.9,0.0,0.5940215587615967
1,Embeddings-based,BERTScore,repeated_sentence_0.1,0.9261196851730347,0.5073220729827881
1,Embeddings-based,BERTScore,repeated_sentence_0.3,0.9015924334526062,0.5047082901000977
1,Embeddings-based,BERTScore,repeated_sentence_0.5,0.869330644607544,0.49787330627441406
1,Embeddings-based,BERTScore,repeated_sentence_0.7,0.8490568399429321,0.5954940319061279
1,Embeddings-based,BERTScore,repeated_sentence_0.9,0.8239649534225464,0.45170140266418457
1,Embeddings-based,BERTScore,100_2,0.7144953608512878,0.5014727115631104
1,Embeddings-based,BERTScore,101_2,0.8286982178688049,0.5957174301147461
1,Embeddings-based,BERTScore,102_2,0.7138203382492065,0.5784363746643066
1,Embeddings-based,BERTScore,103_2,0.7504934668540955,0.7755758762359619
1,Embeddings-based,BERTScore,105_2,0.7602278590202332,0.6303608417510986
1,Embeddings-based,BERTScore,106_2,0.7432646155357361,0.7769989967346191
1,Embeddings-based,BERTScore,107_2,0.7397106885910034,0.6402106285095215
1,Embeddings-based,BERTScore,108_2,0.633324384689331,0.7581017017364502
1,Embeddings-based,BERTScore,10_2,0.7575111985206604,0.6605589389801025
1,Embeddings-based,BERTScore,110_2,0.7841430902481079,0.6909909248352051
10,Embeddings-based,BERTScore,source,0.9999999403953552,0.21599340438842773
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9851840138435364,0.2322525978088379
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9633472561836243,0.32116007804870605
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.945716142654419,0.2974519729614258
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9278920888900757,0.3277885913848877
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.9232142567634583,0.16608023643493652
10,Embeddings-based,BERTScore,deleted_words_0.1,0.9381178617477417,0.16394281387329102
10,Embeddings-based,BERTScore,deleted_words_0.3,0.8299761414527893,0.1674351692199707
10,Embeddings-based,BERTScore,deleted_words_0.5,0.7913537621498108,0.1726703643798828
10,Embeddings-based,BERTScore,deleted_words_0.7,0.7411606311798096,0.17572855949401855
10,Embeddings-based,BERTScore,deleted_words_0.9,0.6362332105636597,0.1672956943511963
10,Embeddings-based,BERTScore,inserted_sentence_0.1,0.8926148414611816,0.16315698623657227
10,Embeddings-based,BERTScore,inserted_sentence_0.3,0.745634138584137,0.1769850254058838
10,Embeddings-based,BERTScore,inserted_sentence_0.5,0.7469831705093384,0.1641831398010254
10,Embeddings-based,BERTScore,inserted_sentence_0.7,0.6934502720832825,0.1801621913909912
10,Embeddings-based,BERTScore,inserted_sentence_0.9,0.6754260063171387,0.18602561950683594
