source_doc,eval_type,eval_method,variant,score,duration
0001,Embeddings-based,BERTScore,source,1.0,0.11883354187011719
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9761356711387634,0.0317537784576416
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9384453892707825,0.031357765197753906
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9145007133483887,0.022256135940551758
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.8953309655189514,0.031768798828125
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8604084253311157,0.015680313110351562
0001,Embeddings-based,BERTScore,deleted_words_0.1,0.9171502590179443,0.015833377838134766
0001,Embeddings-based,BERTScore,deleted_words_0.3,0.8022191524505615,0.015913009643554688
0001,Embeddings-based,BERTScore,deleted_words_0.5,0.7520374059677124,0.03157997131347656
0001,Embeddings-based,BERTScore,deleted_words_0.7,0.6937160491943359,0.03176236152648926
0001,Embeddings-based,BERTScore,deleted_words_0.9,0.6487644910812378,0.012610912322998047
0001,Embeddings-based,BERTScore,inserted_sentence_0.1,0.8846582770347595,0.01578998565673828
0001,Embeddings-based,BERTScore,inserted_sentence_0.3,0.8317143321037292,0.03184962272644043
0001,Embeddings-based,BERTScore,inserted_sentence_0.5,0.7445363402366638,0.040702104568481445
0001,Embeddings-based,BERTScore,inserted_sentence_0.7,0.7114389538764954,0.028914213180541992
0001,Embeddings-based,BERTScore,inserted_sentence_0.9,0.7059948444366455,0.020270824432373047
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.942319393157959,0.038167715072631836
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.848374605178833,0.029140233993530273
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7730746865272522,0.03273510932922363
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.7131202220916748,0.025780439376831055
0001,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.6780880689620972,0.03661012649536133
0001,Embeddings-based,BERTScore,removed_sentence_0.1,0.9664838910102844,0.023360490798950195
0001,Embeddings-based,BERTScore,removed_sentence_0.3,0.9336565732955933,0.022748231887817383
0001,Embeddings-based,BERTScore,removed_sentence_0.5,0.8403112292289734,0.015697002410888672
0001,Embeddings-based,BERTScore,removed_sentence_0.7,0.8057103753089905,0.03185319900512695
0001,Embeddings-based,BERTScore,removed_sentence_0.9,0.751819908618927,0.03207135200500488
0001,Embeddings-based,BERTScore,repeated_sentence_0.1,0.9660068154335022,0.015917301177978516
0001,Embeddings-based,BERTScore,repeated_sentence_0.3,0.9270203709602356,0.01573967933654785
0001,Embeddings-based,BERTScore,repeated_sentence_0.5,0.89621901512146,0.03182816505432129
0001,Embeddings-based,BERTScore,repeated_sentence_0.7,0.887298583984375,0.0367283821105957
0001,Embeddings-based,BERTScore,repeated_sentence_0.9,0.8791856169700623,0.025002002716064453
0001,Embeddings-based,BERTScore,0002_GS1,0.7102867960929871,0.03175950050354004
0001,Embeddings-based,BERTScore,0003_GS1,0.7386430501937866,0.02814173698425293
0001,Embeddings-based,BERTScore,0004_GS1,0.7306428551673889,0.025825977325439453
0001,Embeddings-based,BERTScore,0005_GS1,0.6928813457489014,0.01684713363647461
0001,Embeddings-based,BERTScore,0006_GS1,0.6997566223144531,0.0226442813873291
0001,Embeddings-based,BERTScore,0007_GS1,0.6880961656570435,0.01663827896118164
0001,Embeddings-based,BERTScore,0008_GS1,0.6818652749061584,0.03332853317260742
0001,Embeddings-based,BERTScore,0009_GS1,0.6961358785629272,0.022928953170776367
0001,Embeddings-based,BERTScore,0010_GS1,0.6989957094192505,0.016660690307617188
0001,Embeddings-based,BERTScore,0011_GS1,0.703352689743042,0.017313241958618164
0002,Embeddings-based,BERTScore,source,1.0,0.019640445709228516
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9774202108383179,0.017299652099609375
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9374171495437622,0.016672849655151367
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9120215177536011,0.039617300033569336
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.8841971755027771,0.033167123794555664
0002,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8643515706062317,0.021216630935668945
0002,Embeddings-based,BERTScore,deleted_words_0.1,0.9190560579299927,0.03333735466003418
0002,Embeddings-based,BERTScore,deleted_words_0.3,0.7987737059593201,0.01054239273071289
0002,Embeddings-based,BERTScore,deleted_words_0.5,0.7501656413078308,0.01663374900817871
0002,Embeddings-based,BERTScore,deleted_words_0.7,0.6874773502349854,0.03333258628845215
0002,Embeddings-based,BERTScore,deleted_words_0.9,0.6277748346328735,0.02319812774658203
0002,Embeddings-based,BERTScore,inserted_sentence_0.1,0.7833507657051086,0.01635599136352539
0002,Embeddings-based,BERTScore,inserted_sentence_0.3,0.672844648361206,0.016241073608398438
