source_doc,eval_type,eval_method,variant,score,duration
1,Model-based,Bleurt,source,0.9375575184822083,1.2152861952781677
1,Model-based,Bleurt,consecutively_swapped_words_0.1,0.4403632879257202,1.2152861952781677
1,Model-based,Bleurt,consecutively_swapped_words_0.3,0.24613192677497864,1.2152861952781677
1,Model-based,Bleurt,consecutively_swapped_words_0.5,0.15243327617645264,1.2152861952781677
1,Model-based,Bleurt,consecutively_swapped_words_0.7,0.141266867518425,1.2152861952781677
1,Model-based,Bleurt,consecutively_swapped_words_0.9,0.10846319794654846,1.2152861952781677
1,Model-based,Bleurt,deleted_words_0.1,0.30621880292892456,1.2152861952781677
1,Model-based,Bleurt,deleted_words_0.3,0.045703060925006866,1.2152861952781677
1,Model-based,Bleurt,deleted_words_0.5,0.02548503875732422,1.1322426795959473
1,Model-based,Bleurt,deleted_words_0.7,-0.018047839403152466,1.1322426795959473
1,Model-based,Bleurt,deleted_words_0.9,-0.004590064287185669,1.1322426795959473
1,Model-based,Bleurt,inserted_sentence_0.1,0.5480968952178955,1.1322426795959473
1,Model-based,Bleurt,inserted_sentence_0.3,0.3501920998096466,1.1322426795959473
1,Model-based,Bleurt,inserted_sentence_0.5,0.2842073440551758,1.1322426795959473
1,Model-based,Bleurt,inserted_sentence_0.7,0.027449794113636017,1.1322426795959473
1,Model-based,Bleurt,inserted_sentence_0.9,-0.012809500098228455,1.1322426795959473
1,Model-based,Bleurt,randomly_swapped_words_0.1,0.22009089589118958,1.1311741769313812
1,Model-based,Bleurt,randomly_swapped_words_0.3,0.025758273899555206,1.1311741769313812
1,Model-based,Bleurt,randomly_swapped_words_0.5,0.03907964378595352,1.1311741769313812
1,Model-based,Bleurt,randomly_swapped_words_0.7,0.14635586738586426,1.1311741769313812
1,Model-based,Bleurt,randomly_swapped_words_0.9,0.1265055239200592,1.1311741769313812
1,Model-based,Bleurt,removed_sentence_0.1,0.5909737348556519,1.1311741769313812
1,Model-based,Bleurt,removed_sentence_0.3,0.46074599027633667,1.1311741769313812
1,Model-based,Bleurt,removed_sentence_0.5,0.3204614818096161,1.1311741769313812
1,Model-based,Bleurt,removed_sentence_0.7,0.2277260273694992,1.1207182109355927
1,Model-based,Bleurt,removed_sentence_0.9,0.19737853109836578,1.1207182109355927
1,Model-based,Bleurt,repeated_sentence_0.1,0.7135903239250183,1.1207182109355927
