source_doc,eval_type,eval_method,variant,score,duration
0001,N-gram-based,Rouge1,source,1.0,0.1797621250152588
0001,N-gram-based,Rouge2,source,1.0,0.12613892555236816
0001,N-gram-graph-based,AutoSummENG,source,1.000000,0.6136984825134277
0001,N-gram-graph-based,MeMoG,source,1.000000,0.6136984825134277
0001,N-gram-graph-based,NPowER,source,0.888240,0.6136984825134277
0001,Embeddings-based,BERTScore,source,1.0,0.44540905952453613
0001,N-gram-based,Rouge1,consecutively_swapped_words_0.1,0.9779693486590039,0.13269782066345215
0001,N-gram-based,Rouge2,consecutively_swapped_words_0.1,0.8139980824544583,0.1265549659729004
0001,N-gram-graph-based,AutoSummENG,consecutively_swapped_words_0.1,0.806567,0.434237003326416
0001,N-gram-graph-based,MeMoG,consecutively_swapped_words_0.1,0.806567,0.434237003326416
0001,N-gram-graph-based,NPowER,consecutively_swapped_words_0.1,0.727772,0.434237003326416
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9801396727561951,0.07936811447143555
0001,N-gram-based,Rouge1,consecutively_swapped_words_0.3,0.9779693486590039,0.13690614700317383
0001,N-gram-based,Rouge2,consecutively_swapped_words_0.3,0.6069031639501438,0.13143014907836914
0001,N-gram-graph-based,AutoSummENG,consecutively_swapped_words_0.3,0.705811,0.43807029724121094
0001,N-gram-graph-based,MeMoG,consecutively_swapped_words_0.3,0.705811,0.43807029724121094
0001,N-gram-graph-based,NPowER,consecutively_swapped_words_0.3,0.644187,0.43807029724121094
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9481649994850159,0.09299349784851074
0001,N-gram-based,Rouge1,consecutively_swapped_words_0.5,0.9779693486590039,0.13544321060180664
0001,N-gram-based,Rouge2,consecutively_swapped_words_0.5,0.45445829338446786,0.10912966728210449
0001,N-gram-graph-based,AutoSummENG,consecutively_swapped_words_0.5,0.638149,0.49265313148498535
0001,N-gram-graph-based,MeMoG,consecutively_swapped_words_0.5,0.638149,0.49265313148498535
0001,N-gram-graph-based,NPowER,consecutively_swapped_words_0.5,0.588055,0.49265313148498535
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9211192727088928,0.10574889183044434
0001,N-gram-based,Rouge1,consecutively_swapped_words_0.7,0.9779693486590039,0.12846159934997559
0001,N-gram-based,Rouge2,consecutively_swapped_words_0.7,0.3221476510067114,0.12124419212341309
0001,N-gram-graph-based,AutoSummENG,consecutively_swapped_words_0.7,0.580833,0.4325699806213379
0001,N-gram-graph-based,MeMoG,consecutively_swapped_words_0.7,0.580833,0.4325699806213379
0001,N-gram-graph-based,NPowER,consecutively_swapped_words_0.7,0.540507,0.4325699806213379
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.8940793871879578,0.15318036079406738
0001,N-gram-based,Rouge1,consecutively_swapped_words_0.9,0.9779693486590039,0.12380313873291016
0001,N-gram-based,Rouge2,consecutively_swapped_words_0.9,0.2233940556088207,0.12595319747924805
0001,N-gram-graph-based,AutoSummENG,consecutively_swapped_words_0.9,0.542034,0.47306108474731445
0001,N-gram-graph-based,MeMoG,consecutively_swapped_words_0.9,0.542034,0.47306108474731445
0001,N-gram-graph-based,NPowER,consecutively_swapped_words_0.9,0.508320,0.47306108474731445
0001,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.8670541644096375,0.09033513069152832
0001,N-gram-based,Rouge1,deleted_words_0.1,0.9248613212304588,0.12112617492675781
0001,N-gram-based,Rouge2,deleted_words_0.1,0.8238263503281172,0.11519241333007812
0001,N-gram-graph-based,AutoSummENG,deleted_words_0.1,0.771038,0.4345369338989258
0001,N-gram-graph-based,MeMoG,deleted_words_0.1,0.771038,0.4345369338989258
0001,N-gram-graph-based,NPowER,deleted_words_0.1,0.698298,0.4345369338989258
0001,Embeddings-based,BERTScore,deleted_words_0.1,0.868901789188385,0.09474802017211914
0001,N-gram-based,Rouge1,deleted_words_0.3,0.8038331454340473,0.11928129196166992
