source_doc,eval_type,eval_method,variant,score,duration
1,Embeddings-based,BERTScore,source,1.0,0.5429222583770752
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9892579913139343,0.9065983295440674
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.966069221496582,0.8921706676483154
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.953593909740448,1.0035920143127441
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9534727334976196,0.9218730926513672
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.937142550945282,0.909491777420044
1,Embeddings-based,BERTScore,deleted_words_0.1,0.7176719903945923,0.8880615234375
1,Embeddings-based,BERTScore,deleted_words_0.3,0.6690768003463745,0.820136308670044
1,Embeddings-based,BERTScore,deleted_words_0.5,0.6597514152526855,0.7289197444915771
1,Embeddings-based,BERTScore,deleted_words_0.7,0.6381276845932007,0.6952817440032959
1,Embeddings-based,BERTScore,deleted_words_0.9,0.6263758540153503,0.6105611324310303
1,Embeddings-based,BERTScore,inserted_sentence_0.1,0.6955413222312927,1.1313223838806152
1,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6967726945877075,1.2420375347137451
1,Embeddings-based,BERTScore,inserted_sentence_0.5,0.6814392805099487,1.1656992435455322
1,Embeddings-based,BERTScore,inserted_sentence_0.7,0.6815899014472961,1.2251336574554443
1,Embeddings-based,BERTScore,inserted_sentence_0.9,0.7006890177726746,1.173945426940918
1,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.953450083732605,0.9854645729064941
1,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8418976664543152,1.0433526039123535
1,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7612404227256775,0.98934006690979
1,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.7340884208679199,1.0799565315246582
1,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.6801550388336182,1.0539023876190186
1,Embeddings-based,BERTScore,removed_sentence_0.1,1.0,1.0194780826568604
1,Embeddings-based,BERTScore,removed_sentence_0.3,0.9024437665939331,0.9127035140991211
1,Embeddings-based,BERTScore,removed_sentence_0.5,0.8699295520782471,0.8333451747894287
1,Embeddings-based,BERTScore,removed_sentence_0.7,0.8375152945518494,0.7667176723480225
1,Embeddings-based,BERTScore,removed_sentence_0.9,0.8084762692451477,0.6774756908416748
1,Embeddings-based,BERTScore,repeated_sentence_0.1,0.5825398564338684,0.9503793716430664
1,Embeddings-based,BERTScore,repeated_sentence_0.3,0.5825398564338684,1.140770435333252
1,Embeddings-based,BERTScore,repeated_sentence_0.5,0.5825398564338684,1.1270418167114258
1,Embeddings-based,BERTScore,repeated_sentence_0.7,0.5825398564338684,1.2448375225067139
1,Embeddings-based,BERTScore,repeated_sentence_0.9,0.5825398564338684,1.3737940788269043
10,Embeddings-based,BERTScore,source,0.9999999403953552,0.23186278343200684
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.98611980676651,0.44451141357421875
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9695407152175903,0.4201185703277588
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9505645036697388,0.43964481353759766
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.928821325302124,0.4429638385772705
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.9258061051368713,0.449908971786499
10,Embeddings-based,BERTScore,deleted_words_0.1,0.767307460308075,0.40413379669189453
10,Embeddings-based,BERTScore,deleted_words_0.3,0.7039973735809326,0.3887026309967041
10,Embeddings-based,BERTScore,deleted_words_0.5,0.6808415055274963,0.34097790718078613
10,Embeddings-based,BERTScore,deleted_words_0.7,0.6569150686264038,0.3044772148132324
10,Embeddings-based,BERTScore,deleted_words_0.9,0.6472671627998352,0.26740598678588867
10,Embeddings-based,BERTScore,inserted_sentence_0.1,0.6788517236709595,0.44275712966918945
10,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6804613471031189,0.47797179222106934
10,Embeddings-based,BERTScore,inserted_sentence_0.5,0.6818042993545532,0.48598670959472656
10,Embeddings-based,BERTScore,inserted_sentence_0.7,0.6768295764923096,0.5285975933074951
10,Embeddings-based,BERTScore,inserted_sentence_0.9,0.659405529499054,0.491685152053833
10,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9436896443367004,0.3682870864868164
10,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.851268470287323,0.38825273513793945
10,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.79659104347229,0.37867212295532227
10,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.7240692973136902,0.45528078079223633
10,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.6711937785148621,0.46529674530029297
10,Embeddings-based,BERTScore,removed_sentence_0.1,1.0,0.41971850395202637
10,Embeddings-based,BERTScore,removed_sentence_0.3,0.8349389433860779,0.3763601779937744
10,Embeddings-based,BERTScore,removed_sentence_0.5,0.801250159740448,0.33689212799072266
10,Embeddings-based,BERTScore,removed_sentence_0.7,0.8013430237770081,0.32758235931396484
10,Embeddings-based,BERTScore,removed_sentence_0.9,0.8053580522537231,0.31417226791381836
10,Embeddings-based,BERTScore,repeated_sentence_0.1,0.614233672618866,0.4549522399902344
10,Embeddings-based,BERTScore,repeated_sentence_0.3,0.614233672618866,0.5092954635620117
10,Embeddings-based,BERTScore,repeated_sentence_0.5,0.614233672618866,0.585853099822998
10,Embeddings-based,BERTScore,repeated_sentence_0.7,0.614233672618866,0.5924055576324463
10,Embeddings-based,BERTScore,repeated_sentence_0.9,0.614233672618866,0.6399805545806885
100,Embeddings-based,BERTScore,source,1.0,0.09497594833374023
100,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9872514009475708,0.1676340103149414
100,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9690694808959961,0.18197202682495117
100,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9565767645835876,0.21965551376342773
